time[s];Vsg[mV];pH/ion concentration [mM]
2465.53;2337.70;-3.310
2470.52;2338.15;-3.320
2475.50;2337.80;-3.320
2480.49;2338.10;-3.320
2485.47;2337.85;-3.320
2490.46;2337.80;-3.320
2495.45;2337.85;-3.320
2500.43;2337.95;-3.320
2505.42;2337.75;-3.320
2510.39;2338.04;-3.320
2515.34;2337.85;-3.318
2520.32;2338.04;-3.320
2525.31;2337.97;-3.320
2530.29;2337.89;-3.320
2535.28;2338.43;-3.326
2540.27;2337.99;-3.320
2545.25;2337.89;-3.320
2550.24;2337.97;-3.320
2555.23;2337.98;-3.320
2560.21;2337.94;-3.320
2565.20;2338.06;-3.320
2570.19;2337.91;-3.320
2575.17;2337.99;-3.320
2580.16;2338.12;-3.320
2585.15;2337.93;-3.320
2590.13;2338.04;-3.320
2595.12;2337.77;-3.320
2600.10;2337.90;-3.320
2605.09;2337.91;-3.320
2610.08;2338.09;-3.320
2615.06;2337.49;-3.312
2620.05;2337.83;-3.320
2625.03;2338.15;-3.320
2630.02;2337.85;-3.320
2635.01;2338.12;-3.320
2640.28;2338.05;-3.320
2645.26;2337.85;-3.320
2650.25;2338.00;-3.320
2655.24;2337.80;-3.320
2660.22;2337.70;-3.310
2665.21;2337.70;-3.310
2670.20;2337.90;-3.320
2675.18;2338.05;-3.320
2680.17;2338.15;-3.320
2685.15;2338.05;-3.320
2690.14;2338.10;-3.320
2695.12;2338.05;-3.320
2700.11;2338.30;-3.320
2705.10;2337.90;-3.320
2710.08;2338.30;-3.320
2715.01;2336.05;-3.290
2720.60;2337.87;-3.316
2725.59;2308.97;-2.812
2730.22;2346.55;-3.470
2735.18;2335.80;-3.280
2740.17;2331.35;-3.200
2745.16;2336.05;-3.290
2750.15;2336.40;-3.290
2755.13;2333.20;-3.240
2760.07;2334.45;-3.260
2765.04;2336.45;-3.290
2770.00;2337.30;-3.310
2775.56;2337.52;-3.310
2780.50;2337.97;-3.320
2785.48;2338.66;-3.330
2790.41;2338.67;-3.332
2795.40;2339.07;-3.340
2800.38;2340.04;-3.354
2805.37;2339.51;-3.348
2810.35;2339.40;-3.342
2815.34;2338.59;-3.330
2820.33;2338.62;-3.332
2825.31;2337.29;-3.306
2830.30;2338.57;-3.326
2835.28;2338.19;-3.322
2840.27;2338.30;-3.320
2845.24;2338.24;-3.320
2850.24;2338.30;-3.320
2855.23;2338.36;-3.328
2860.22;2338.35;-3.330
2865.45;2338.80;-3.330
2870.41;2338.30;-3.320
2875.40;2338.25;-3.320
2880.37;2338.29;-3.322
2885.32;2338.42;-3.330
2890.30;2338.30;-3.328
2895.29;2338.35;-3.330
2900.27;2338.43;-3.330
2905.26;2338.29;-3.320
2910.25;2338.31;-3.322
2915.23;2338.44;-3.330
2920.22;2338.54;-3.330
2925.20;2338.59;-3.330
2930.19;2338.49;-3.330
2935.12;2338.42;-3.330
2940.11;2338.61;-3.330
2945.09;2338.50;-3.330
2950.08;2338.57;-3.330
2955.06;2338.95;-3.336
2960.05;2338.72;-3.330
2965.04;2338.53;-3.330
2970.02;2338.55;-3.330
2975.01;2338.52;-3.330
2980.28;2338.80;-3.330
2985.26;2338.60;-3.330
2990.25;2338.70;-3.330
2995.24;2338.40;-3.330
3000.22;2338.70;-3.330
3005.21;2338.80;-3.330
3010.19;2338.95;-3.340
3015.18;2339.00;-3.340
3020.17;2338.40;-3.330
3025.16;2338.55;-3.330
3030.14;2338.55;-3.330
3035.13;2338.85;-3.330
3040.11;2339.50;-3.350
3045.10;2338.80;-3.330
3050.09;2338.85;-3.330
3055.07;2339.25;-3.340
3060.06;2339.20;-3.340
3065.04;2338.80;-3.330
3070.03;2338.85;-3.330
