time[s];Vsg[mV];pH/ion concentration [mM]
2255.19;2338.50;-3.330
2260.16;2338.80;-3.330
2265.15;2339.05;-3.340
2270.14;2339.05;-3.340
2275.12;2339.15;-3.340
2280.11;2338.90;-3.330
2285.08;2337.45;-3.310
2290.07;2337.30;-3.310
2295.01;2337.30;-3.310
2300.21;2336.05;-3.280
2305.20;2336.70;-3.300
2310.19;2336.80;-3.300
2315.17;2336.90;-3.300
2320.15;2336.85;-3.300
2325.14;2336.85;-3.300
2330.12;2336.55;-3.290
2335.11;2336.80;-3.300
2340.09;2336.75;-3.300
2345.07;2336.80;-3.300
2350.05;2336.80;-3.300
2355.59;2336.64;-3.294
2360.57;2336.69;-3.296
2365.56;2336.75;-3.300
2370.54;2336.71;-3.296
2375.53;2336.62;-3.296
2380.51;2336.53;-3.290
2385.50;2336.52;-3.290
2390.49;2336.52;-3.290
2395.47;2336.51;-3.290
2400.46;2336.44;-3.290
2405.44;2336.43;-3.290
2410.38;2336.26;-3.290
2415.35;2336.38;-3.290
2420.28;2336.32;-3.290
2425.26;2336.32;-3.290
2430.26;2336.54;-3.290
2435.23;2336.48;-3.290
2440.23;2336.37;-3.290
2445.20;2336.31;-3.290
2450.20;2336.22;-3.290
2455.18;2336.16;-3.290
2460.17;2336.23;-3.290
2465.15;2336.30;-3.290
2470.13;2336.38;-3.290
2475.12;2336.46;-3.290
2480.33;2336.35;-3.290
2485.32;2334.70;-3.260
2490.30;2334.50;-3.260
2495.28;2336.15;-3.290
2500.28;2336.00;-3.280
2505.26;2336.30;-3.290
2510.24;2336.05;-3.280
2515.23;2336.20;-3.290
2520.22;2336.05;-3.280
2525.20;2336.20;-3.290
2530.18;2335.95;-3.280
2535.16;2335.95;-3.280
2540.16;2336.00;-3.280
2545.15;2336.20;-3.290
2550.04;2258.24;-1.920
2555.01;2323.54;-3.062
2560.27;2321.50;-3.030
2565.26;2329.85;-3.180
2570.25;2332.95;-3.230
2575.18;2331.75;-3.210
2580.16;2333.90;-3.250
2585.14;2335.30;-3.270
2590.13;2336.80;-3.300
2595.11;2337.15;-3.300
2600.10;2337.25;-3.310
2605.08;2337.75;-3.310
2610.01;2338.15;-3.320
2615.28;2338.00;-3.320
2620.27;2338.15;-3.320
2625.25;2338.40;-3.330
2630.24;2338.15;-3.320
2635.21;2336.85;-3.300
2640.20;2336.45;-3.290
2645.18;2336.50;-3.290
2650.12;2336.45;-3.290
2655.07;2336.40;-3.290
2660.02;2334.60;-3.260
2665.02;2335.95;-3.280
2670.01;2336.20;-3.290
2675.58;2336.32;-3.290
2680.57;2336.13;-3.290
2685.55;2336.05;-3.280
2690.55;2336.11;-3.286
2695.54;2336.00;-3.284
2700.52;2336.47;-3.290
2705.50;2335.63;-3.278
2710.49;2336.05;-3.284
2715.47;2336.11;-3.286
2720.45;2336.04;-3.284
2725.44;2336.14;-3.290
2730.44;2336.11;-3.286
2735.42;2335.99;-3.280
2740.40;2336.17;-3.290
2745.38;2336.24;-3.290
2750.37;2336.12;-3.286
2755.35;2336.15;-3.286
2760.31;2336.15;-3.290
2765.26;2336.10;-3.290
2770.25;2336.45;-3.290
2775.25;2336.12;-3.290
2780.23;2336.01;-3.282
2785.22;2336.29;-3.288
2790.20;2335.92;-3.282
2795.41;2336.15;-3.290
2800.39;2336.20;-3.290
2805.39;2335.75;-3.280
2810.37;2336.05;-3.280
2815.35;2336.15;-3.290
2820.34;2336.15;-3.290
2825.32;2335.95;-3.280
2830.30;2336.10;-3.290
2835.29;2336.10;-3.290
2840.29;2336.60;-3.290
2845.27;2336.20;-3.290
2850.25;2335.95;-3.280
2855.24;2335.95;-3.280
2860.22;2335.90;-3.280
2865.21;2336.10;-3.290
2870.20;2336.00;-3.280
2875.19;2335.90;-3.280
2880.17;2336.30;-3.290
2885.16;2338.65;-3.330
2890.13;2076.25;1.260
2895.07;2326.48;-3.120
2900.06;2327.92;-3.142
2905.03;2323.85;-3.070
2910.01;2332.56;-3.220
2915.01;2333.28;-3.238
2920.28;2333.90;-3.250
2925.27;2331.00;-3.200
2930.20;2333.60;-3.240
2935.18;2335.45;-3.270
2940.17;2337.00;-3.300
2945.15;2337.45;-3.310
2950.14;2337.70;-3.310
2955.07;2337.85;-3.320
2960.05;2338.30;-3.320
2965.04;2338.30;-3.320
2970.02;2338.25;-3.320
2975.01;2338.40;-3.330
2980.28;2338.30;-3.320
2985.25;2336.95;-3.300
2990.24;2336.85;-3.300
2995.23;2336.80;-3.300
3000.22;2336.75;-3.300
3005.21;2336.70;-3.300
3010.15;2336.55;-3.290
3015.12;2336.50;-3.290
3020.10;2336.50;-3.290
3025.09;2336.75;-3.300
3030.08;2336.55;-3.290
3035.06;2336.55;-3.290
3040.04;2336.45;-3.290
3045.02;2336.55;-3.290
3050.02;2336.70;-3.300
3055.01;2336.70;-3.300
3060.59;2336.57;-3.290
3065.58;2336.68;-3.298
3070.56;2336.59;-3.290
3075.55;2336.82;-3.300
3080.52;2336.61;-3.290
3085.51;2336.55;-3.290
3090.49;2336.58;-3.292
3095.48;2336.68;-3.298
3100.46;2336.56;-3.290
3105.45;2336.61;-3.290
3110.44;2336.56;-3.292
3115.38;2336.61;-3.294
3120.36;2336.65;-3.290
3125.34;2336.65;-3.290
3130.27;2336.59;-3.290
3135.24;2336.82;-3.300
3140.18;2336.55;-3.290
3145.17;2336.61;-3.290
3150.16;2336.40;-3.290
3155.14;2336.66;-3.292
3160.12;2336.60;-3.292
3165.11;2336.54;-3.292
3170.09;2336.71;-3.298
3175.08;2336.62;-3.292
3180.31;2336.60;-3.290
3185.24;2336.71;-3.300
3190.21;2336.61;-3.292
3195.20;2336.61;-3.290
3200.18;2336.70;-3.300
3205.15;2336.73;-3.294
3210.10;2336.52;-3.290
3215.08;2336.82;-3.300
3220.07;2336.79;-3.300
