time[s];Vsg[mV];pH/ion concentration [mM]
4385.44;2384.91;-4.150
4390.43;2385.00;-4.150
4395.42;2385.08;-4.150
4400.40;2384.98;-4.150
4405.39;2384.85;-4.148
4410.38;2384.19;-4.134
4415.37;2384.94;-4.150
4420.35;2384.84;-4.150
4425.34;2384.93;-4.150
4430.32;2385.00;-4.150
4435.31;2384.86;-4.150
4440.30;2385.03;-4.150
4445.28;2384.67;-4.140
4450.27;2387.81;-4.200
4455.26;2385.38;-4.154
4460.19;2383.33;-4.120
4465.18;2385.88;-4.162
4470.16;2382.20;-4.102
4475.13;2384.11;-4.130
4480.08;2384.38;-4.140
4485.07;2384.47;-4.140
4490.05;2382.36;-4.102
4495.04;2382.79;-4.110
4500.03;2384.88;-4.144
4505.01;2385.40;-4.154
4510.00;2385.53;-4.160
4515.27;2385.85;-4.160
4520.26;2386.50;-4.170
4525.25;2386.35;-4.170
4530.23;2386.40;-4.170
4535.22;2386.80;-4.180
4540.20;2386.50;-4.170
4545.19;2386.30;-4.170
4550.18;2385.90;-4.160
4555.17;2385.65;-4.160
4560.15;2385.75;-4.160
4565.14;2385.95;-4.170
4570.13;2386.55;-4.180
4575.12;2385.65;-4.160
4580.10;2386.10;-4.170
4585.09;2386.05;-4.170
4590.08;2387.05;-4.180
4595.06;2385.95;-4.170
4600.05;2385.10;-4.150
4605.04;2385.95;-4.170
4610.02;2386.00;-4.170
4615.01;2385.95;-4.170
4620.00;2385.95;-4.170
4625.27;2385.90;-4.160
4630.26;2386.00;-4.170
4635.25;2386.20;-4.170
4640.23;2386.15;-4.170
4645.22;2385.95;-4.170
4650.21;2386.15;-4.170
4655.19;2385.95;-4.170
4660.18;2385.60;-4.160
4665.17;2385.95;-4.170
4670.15;2385.90;-4.160
4675.14;2385.85;-4.160
4680.13;2385.85;-4.160
4685.12;2386.20;-4.170
4690.10;2386.00;-4.170
4695.10;2385.85;-4.160
4700.08;2386.05;-4.170
4705.07;2385.90;-4.160
